MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
303636000,2024-12-31T02:41:02,47.65889,-122.38011,0.0,200.3,180,MARK I,IMO7215654,WDC4939,30.0,0.0,33.0,10.0,4.0,30.0,A
538070928,2024-12-31T02:43:35,26.8326,-80.0551,102.3,360.0,213,FOTINI III,,V7BC7,37.0,5.0,22.0,6.0,2.5,37.0,A
368102710,2024-12-31T00:43:30,41.38319,-71.51201,0.0,98.8,511,RAYNA AND KERSTIN,IMO0000000,WDK9337,30.0,,16.0,6.0,,,B
338454518,2024-12-31T01:43:00,32.71388,-117.22927,0.0,360.0,511,LADY OF LEISURE,IMO0000000,WAD5092,37.0,,13.0,4.0,,,B
368138010,2024-12-31T00:45:27,40.45175,-73.83451,4.3,60.0,53,NEW YORK,IMO9005839,WDL5112,50.0,0.0,58.0,14.0,0.0,50.0,A
367003460,2024-12-31T00:03:29,29.73295,-90.14693,5.7,218.8,219,JOCK,IMO1101550,WDF2423,52.0,12.0,26.0,10.0,2.8,57.0,A
368303710,2024-12-31T00:31:41,27.82079,-97.20331,0.0,356.5,281,SIGNET SIRIUS,IMO9998444,WDN6925,52.0,0.0,30.0,12.0,6.4,52.0,A
366878290,2024-12-31T02:50:50,39.27236,-74.98023,0.0,332.3,511,RAM 15,IMO1136068,WDB2653,95.0,15.0,35.0,20.0,11.0,95.0,A
338132000,2024-12-31T02:02:25,47.63127,-122.38104,0.0,0.0,511,GOLDEN ALASKA,IMO7229710,WDI2020,30.0,8.0,93.0,15.0,7.0,30.0,A
368363150,2024-12-31T01:48:07,35.84109,-75.61996,0.0,279.2,511,SERGEANT,IMO106484600,WDP5405,52.0,0.0,15.0,13.0,2.5,52.0,A
357657000,2024-12-31T02:45:56,25.31956,-79.53704,9.8,172.9,172,CARNIVAL CONQUEST,IMO9198355,3FPQ9,69.0,0.0,290.0,44.0,8.3,60.0,A
369493027,2024-12-31T01:44:54,46.28117,-124.04628,0.0,8.0,511,CG47229,,,51.0,0.0,14.0,4.0,1.0,51.0,A
